Station;171 Mitte;171 Mitte;171 Mitte;171 Mitte
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide
Einheit;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);pm10;no;no2;nox

25.01.2021 08:00;23;3;24;28
25.01.2021 09:00;24;4;26;32
25.01.2021 10:00;22;4;22;28
25.01.2021 11:00;21;5;24;31
25.01.2021 12:00;20;4;20;26
25.01.2021 13:00;19;3;19;24
25.01.2021 14:00;20;2;15;19
25.01.2021 15:00;20;3;19;23
25.01.2021 16:00;23;3;23;27
25.01.2021 17:00;20;2;19;22
25.01.2021 18:00;19;2;19;22
25.01.2021 19:00;20;1;16;18
25.01.2021 20:00;15;1;15;16
25.01.2021 21:00;16;1;15;16
25.01.2021 22:00;18;1;20;21
25.01.2021 23:00;20;1;18;19
26.01.2021 00:00;25;1;18;18
26.01.2021 01:00;27;0;15;16
26.01.2021 02:00;26;0;14;15
26.01.2021 03:00;27;0;13;14
26.01.2021 04:00;28;0;15;16
26.01.2021 05:00;27;1;16;16
26.01.2021 06:00;27;1;23;25
26.01.2021 07:00;26;3;32;37
26.01.2021 08:00;26;11;46;63
26.01.2021 09:00;27;16;44;68
26.01.2021 10:00;28;14;38;59
26.01.2021 11:00;27;14;36;57
26.01.2021 12:00;27;11;32;49
26.01.2021 13:00;28;14;37;58
26.01.2021 14:00;28;5;21;30
26.01.2021 15:00;25;3;19;23
26.01.2021 16:00;26;3;21;26
