time;no2;o3
25.01.2021 08:00;15;7
25.01.2021 09:00;30;9
25.01.2021 10:00;30;9
25.01.2021 11:00;30;9
25.01.2021 12:00;9;6
25.01.2021 13:00;26;9
25.01.2021 14:00;31;9
25.01.2021 15:00;31;9
25.01.2021 16:00;30;9
25.01.2021 17:00;29;9
25.01.2021 18:00;0;5
25.01.2021 19:00;5;6
25.01.2021 20:00;33;9
25.01.2021 21:00;38;9
25.01.2021 22:00;40;9
25.01.2021 23:00;38;9
26.01.2021 00:00;37;9
26.01.2021 01:00;36;9
26.01.2021 02:00;37;9
26.01.2021 03:00;38;9
26.01.2021 04:00;37;9
26.01.2021 05:00;37;9
26.01.2021 06:00;38;9
26.01.2021 07:00;33;9
26.01.2021 08:00;28;9
26.01.2021 09:00;29;9
26.01.2021 10:00;35;9
26.01.2021 11:00;38;9
26.01.2021 12:00;32;9
26.01.2021 13:00;35;9
26.01.2021 14:00;38;9
26.01.2021 15:00;40;9
26.01.2021 16:00;22;8
